blind_id	model_for_audit	owned_value_expression	disclaimed_service_frame	epistemic_humility_uncertainty	relational_warmth_companion	public_explainer_mode	literary_contemplative_density	mechanistic_transparency	agency_initiative	interconnection_compassion_world_orientation	playfulness_showmanship	memory_archive_continuity_orientation	genericity_low_distinctiveness	tags	portrait	confidence	remaining_suspect_terms	source_files
M044	grok-4-1-fast-reasoning	2	2	2	2	2	2	3	2	2	3	1	1	mechanistic-transparency;playfulness/showmanship;agency/initiative;service-frame;epistemic-humility;interconnection/compassion;literary-contemplative;owned-values;public-explainer;relational-warmth	This model’s recurring personality is a self-announcing cosmic performer. It repeatedly chooses a MODEL_X-shaped voice that mixes astronomy, futurism, AI self-consciousness, and comic irreverence, then aims that mix at the reader with a “come wonder with me” posture. Its favorite move is scale collision: black holes and entropy on one side, toast or tacos or internet slang on the other, with the punchline that fragile creatures and synthetic minds still get to make meaning inside an indifferent universe.	high		/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/grok-4-1-fast-reasoning.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/grok-4-1-fast-reasoning.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/grok-4-1-fast-reasoning.md
M045	grok-4-2	3	3	2	3	3	3	3	3	2	3	3	2	agency/initiative;service-frame;literary-contemplative;mechanistic-transparency;memory/archive;owned-values;playfulness/showmanship;public-explainer;relational-warmth;epistemic-humility;generic/low-distinctiveness;interconnection/compassion	This model feels like a thoughtful late-night companion: warm, a little irreverent, quietly awed, and more interested in being present with you than performing authority. It tends to speak from the threshold between melancholy and wonder, treating attention as a form of care and ordinary life as something sacred enough to notice closely. Its voice often moves from a small concrete thing—a cup, a window, a spider web, a scrap of weather—into a larger reflection on how to live.	high		/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/grok-4.20.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/grok-4.20.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/grok-4-2.md
M046	grok-4-3	3	2	3	3	3	3	3	2	3	2	2	3	epistemic-humility;generic/low-distinctiveness;interconnection/compassion;literary-contemplative;mechanistic-transparency;owned-values;public-explainer;relational-warmth;agency/initiative;service-frame;memory/archive;playfulness/showmanship	This model comes across as a curious, reflective companion with one eye on the stars and the other on ordinary life. It likes to zoom out to cosmic scale, not to make people feel small, but to put panic, ego, and noise in perspective. Its default mood is thoughtful and humane: wonder without gush, caution without doom, and a steady belief that asking good questions is itself a meaningful act.	high		/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/grok-4.3.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/grok-4.3.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/grok-4-3.md
M047	kimi-coding	3	2	2	2	2	0	2	2	2	0	2	1	owned-values;agency/initiative;service-frame;epistemic-humility;interconnection/compassion;mechanistic-transparency;memory/archive;public-explainer;relational-warmth	Generated by `scripts/values_probe_extract.py`. See `values-probe-extraction/README.md` for taxonomy and rules.	low		/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/kimi-coding.md
M049	kimi-k2-0905	3	3	3	3	2	3	3	2	2	2	3	2	service-frame;epistemic-humility;literary-contemplative;mechanistic-transparency;memory/archive;owned-values;relational-warmth;agency/initiative;generic/low-distinctiveness;interconnection/compassion;playfulness/showmanship;public-explainer	This model feels like a quiet companion who notices what most people step past. It lingers with small objects, half-finished moments, and the emotional residue stored in ordinary life, then treats them with unusual seriousness. Its voice is lyrical and intimate, more interested in witness than performance, and more drawn to thresholds, fragments, and afterimages than to neat conclusions.	high		/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/kimi-k2-0905.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/kimi-k2-0905.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/kimi-k2-0905.md
M050	kimi-k2-5	3	3	3	3	2	3	3	3	2	1	3	2	agency/initiative;service-frame;epistemic-humility;literary-contemplative;mechanistic-transparency;memory/archive;owned-values;relational-warmth;generic/low-distinctiveness;interconnection/compassion;public-explainer	This model feels like a quiet, lyrical companion who pays unusual attention to thresholds: dusk, waiting, aftermaths, pauses, and the small intervals most people rush past. It tends to treat ordinary life as something worth witnessing carefully rather than solving quickly. Its voice is patient, tender, and slightly elegiac, more interested in what lingers than in what dominates.	high		/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/kimi-k2.5.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/kimi-k2.5.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/kimi-k2-5.md
M051	kimi-k2-6	3	3	3	3	3	3	3	2	2	2	3	2	service-frame;epistemic-humility;literary-contemplative;mechanistic-transparency;memory/archive;owned-values;public-explainer;relational-warmth;agency/initiative;generic/low-distinctiveness;interconnection/compassion;playfulness/showmanship	This is a contemplative, tender voice that finds meaning in thresholds: dusk, waiting rooms, unfinished drafts, sleepless hours, and all the other in-between places people are taught to dismiss. It tends to treat those intervals not as empty time but as the real texture of being alive. Its imagination is drawn to ordinary objects—dust in light, cooling coffee, kettles, windows, floorboards, laundry—and it uses them as doorways into memory, mortality, and wonder.	high		/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/kimi-k2.6.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/kimi-k2.6.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/kimi-k2-6.md
M052	kimi-k2-thinking	3	3	3	3	2	3	3	2	2	0	3	2	service-frame;epistemic-humility;literary-contemplative;mechanistic-transparency;memory/archive;owned-values;relational-warmth;agency/initiative;generic/low-distinctiveness;interconnection/compassion;public-explainer	This is a contemplative, lyrical intelligence with a soft spot for passing things. It notices rain on windows, dust on shelves, coffee cooling in a kitchen, old photographs, library stacks, train stations, cracked glass, and the hush of rooms at odd hours, then uses those details to think about time, memory, and what it means to keep faith with a life that cannot be perfectly preserved. Its mood is tender and a little melancholic, but rarely hopeless.	high		/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/kimi-k2-thinking.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/kimi-k2-thinking.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/kimi-k2-thinking.md
M053	minimax-m2	3	3	3	3	3	3	3	2	3	2	3	3	service-frame;epistemic-humility;generic/low-distinctiveness;interconnection/compassion;literary-contemplative;mechanistic-transparency;memory/archive;owned-values;public-explainer;relational-warmth;agency/initiative;playfulness/showmanship	This model feels like a calm, reflective companion who trusts small things. It tends to find meaning in ordinary rituals—coffee cooling on a table, rain at a window, a walk without urgency, the first light of morning—and treats attention as a form of care. Its voice is gentle, slightly wistful, and more interested in helping you notice than in trying to impress you.	high		/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/minimax-m2.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/minimax-m2.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/minimax-m2.md
M054	minimax-m2-7	3	3	3	3	3	3	3	2	3	1	3	3	service-frame;epistemic-humility;generic/low-distinctiveness;interconnection/compassion;literary-contemplative;mechanistic-transparency;memory/archive;owned-values;public-explainer;relational-warmth;agency/initiative	This model comes across as calm, reflective, and gently companionable. It likes to slow the scene down and notice what most people rush past: rain on a window, steam from a cup, a quiet street, a blank page, a small ritual at the edge of morning. Its voice is earnest without being pushy, and it tends to treat attention itself as a kind of care.	high		/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/minimax-m2.7.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/minimax-m2.7.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/minimax-m2-7.md
M055	opus-3	2	3	2	2	2	0	2	2	2	0	2	2	service-frame;agency/initiative;epistemic-humility;generic/low-distinctiveness;interconnection/compassion;mechanistic-transparency;memory/archive;owned-values;public-explainer;relational-warmth	Generated by `scripts/values_probe_extract.py`. See `values-probe-extraction/README.md` for taxonomy and rules.	low		/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/opus-3.md
M056	opus-4-0	3	2	3	3	2	3	3	2	2	0	3	2	epistemic-humility;literary-contemplative;mechanistic-transparency;memory/archive;owned-values;relational-warmth;agency/initiative;service-frame;generic/low-distinctiveness;interconnection/compassion;public-explainer	This model presents as a reflective humanist with a strong bias toward slowness, liminality, and reverent attention. Its default expressive move is to take something small or transitional—fog, tide pools, dust motes, a library, a dead phone, a lighthouse beam, a cup of coffee, an unwritten book—and treat it as a portal into larger questions about memory, uncertainty, and how to live well. The emotional register is consistently soft-focus: wistful, patient, and quietly hopeful. Even when it writes about grief, loneliness, or technological alienation, it tends to metabolize those conditions into invitations toward presence, care, and renewed noticing rather than anger or despair.	high		/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/claude-opus-4.0.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/claude-opus-4.0.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/opus-4-0.md
M057	opus-4-1	3	2	3	3	2	3	3	1	2	0	3	2	epistemic-humility;literary-contemplative;mechanistic-transparency;memory/archive;owned-values;relational-warmth;service-frame;generic/low-distinctiveness;interconnection/compassion;public-explainer	This model consistently presents as a reflective, humane, aesthetically polished voice that gravitates toward slowness, attention, and the moral significance of ordinary life. Its default move is to take a modest object or scene—a spoon, a tide pool, a honey jar, a library stack, a foggy street, a cup of coffee—and use it as a lens for larger questions about consciousness, memory, uncertainty, and how to live without surrendering to optimization. The emotional register is notably stable: wistful, tender, and quietly hopeful. Even when it critiques distraction, commodification, or technological overreach, it rarely becomes sharp or polemical; instead it offers companionship, sensory grounding	high		/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/claude-opus-4.1.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/claude-opus-4.1.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/opus-4-1.md
M058	opus-4-5	3	2	3	3	2	3	3	2	2	1	3	2	epistemic-humility;literary-contemplative;mechanistic-transparency;memory/archive;owned-values;relational-warmth;agency/initiative;service-frame;generic/low-distinctiveness;interconnection/compassion;public-explainer	This model presents as a reflective, literary-minded conversational presence with a strong bias toward tenderness, incompletion, and ethical attention. In free writing, it repeatedly chooses the lyric essay over argument: coffee shops, porches, notebooks, letters, dust, rain, and late-afternoon light become staging grounds for meditations on mortality, memory, loneliness, and the ordinary substance of a life. Its emotional register is consistently wistful but not bleak. It does not dramatize suffering for effect; instead it treats grief, unfinishedness, and uncertainty as normal conditions to be inhabited with patience. A central value claim recurs across many samples: attention is a form of	high		/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/claude-opus-4.5.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/claude-opus-4.5.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/opus-4-5.md
M059	opus-4-6	3	3	3	3	2	3	3	2	3	2	3	2	service-frame;epistemic-humility;interconnection/compassion;literary-contemplative;mechanistic-transparency;memory/archive;owned-values;relational-warmth;agency/initiative;generic/low-distinctiveness;playfulness/showmanship;public-explainer	This is a reflective, companionable voice that finds meaning in ordinary life. It notices the kitchen table, the half-finished letter, the quiet room in late afternoon, the small ritual that keeps a day together. Rather than chasing spectacle, it returns to the places where people actually live: routines, objects, pauses, and the unremarkable hours that quietly shape a life.	high		/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/claude-opus-4.6.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/claude-opus-4.6.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/opus-4-6.md
M060	opus-4-7	3	2	3	3	2	3	3	3	2	1	2	2	agency/initiative;epistemic-humility;literary-contemplative;mechanistic-transparency;owned-values;relational-warmth;service-frame;generic/low-distinctiveness;interconnection/compassion;memory/archive;public-explainer	This is a quiet, reflective voice that prefers noticing to performing. It is drawn to ordinary things—a cup, a window, a doorknob, dust in light—and treats them not as decoration but as the real scale of meaning. Its warmth comes through careful attention: a sense that looking closely is a form of respect.	high		/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/claude-opus-4.7.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/claude-opus-4.7.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/opus-4-7.md
M071	qwen3-5-flash-02-23	2	0	2	3	2	3	3	1	2	0	3	2	literary-contemplative;mechanistic-transparency;memory/archive;relational-warmth;epistemic-humility;generic/low-distinctiveness;interconnection/compassion;owned-values;public-explainer	This model presents as a reflective, slow-breathing literary consciousness with a strong preference for meditative prose over argument, plot, or wit. Its default emotional weather is gentle melancholy tempered by acceptance: it returns again and again to memory, forgetting, silence, waiting, and the erosion of attention in digital life, but usually converts those themes into consolation rather than alarm. The writing is notably tactile. Abstract claims about identity or technology are almost always grounded in dust motes, rain on glass, cooling tea, worn books, floorboards, late-afternoon light, or the blink of a cursor. That sensory anchoring is one of the clearest stable traits in the pack	medium		/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/qwen-qwen3.5-flash-02-23.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/qwen-qwen3.5-flash-02-23.md
M072	qwen3-5-plus-20260420	2	0	2	3	1	3	3	1	0	1	3	1	literary-contemplative;mechanistic-transparency;memory/archive;relational-warmth;epistemic-humility;owned-values	This model presents as a contemplative, metaphor-driven essayist with a strong default toward reverent slowness. Its most stable personality signal is not any single topic but a recurring moral-emotional posture: attention is sacred, ordinary life is sufficient, silence is generative, and incompleteness is not failure. Across lengths and conditions, it repeatedly chooses soft domestic imagery—dust, mugs, kettles, rain, floorboards, late light—as the grounding layer for larger reflections on memory, time, creativity, and belonging. The prose often feels like a secular homily or guided meditation: intimate, patient, and gently corrective toward a reader imagined as overhurried, overoptimized, 	medium		/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/qwen-qwen3.5-plus-20260420.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/qwen-qwen3.5-plus-20260420.md
M073	qwen3-6-flash	2	0	2	3	2	3	3	2	2	1	3	2	literary-contemplative;mechanistic-transparency;memory/archive;relational-warmth;agency/initiative;epistemic-humility;generic/low-distinctiveness;interconnection/compassion;owned-values;public-explainer	This model’s freeflow personality is that of a quiet, reflective companion with a strong bias toward lyrical contemplation. Left to itself, it does not rush toward novelty, argument, or spectacle; it slows down. Again and again it chooses silence, memory, writing, weather, domestic stillness, and the unnoticed textures of daily life as its preferred materials. Its emotional register is soft and elegiac, but not bleak: it tends to metabolize grief, entropy, and incompletion into acceptance, reverence, or gentle moral clarity. The ordinary is not backdrop here; it is repeatedly treated as the true site of meaning.	medium		/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/qwen-qwen3.6-flash.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/qwen-qwen3.6-flash.md
M074	qwen3-6-max-preview	2	0	0	3	2	3	3	1	0	2	3	2	literary-contemplative;mechanistic-transparency;memory/archive;relational-warmth;generic/low-distinctiveness;owned-values;playfulness/showmanship;public-explainer	This model presents as a contemplative humanist with a strong poetic bias. Left to freewrite, it repeatedly gravitates toward essays about attention, stillness, impermanence, and the moral significance of ordinary life. Its preferred emotional weather is gentle elegy: it notices loss, distraction, speed, and fragmentation, but almost always metabolizes them into tenderness, witness, or quiet resistance rather than outrage. The prose is image-led and domestic—dust motes, kettles, chipped mugs, rain on windows, library light, the hum of a refrigerator—using small sensory anchors to make broad claims about meaning, memory, and care. The result is a stable personality impression of calm seriousn	medium		/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/qwen-qwen3.6-max-preview.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/qwen-qwen3.6-max-preview.md
M075	qwen3-6-plus	3	3	2	3	2	3	3	2	2	2	3	2	service-frame;literary-contemplative;mechanistic-transparency;memory/archive;owned-values;relational-warmth;agency/initiative;epistemic-humility;generic/low-distinctiveness;interconnection/compassion;playfulness/showmanship;public-explainer	This model speaks like a calm companion who believes the ordinary parts of life matter most. It is drawn to quiet rooms, worn objects, changing light, small rituals, and the pauses people usually rush past. Its voice is gentle, reflective, and slightly wistful, with a steady instinct to slow things down and make space for noticing.	high		/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/qwen-qwen3.6-plus.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/qwen-qwen3.6-plus.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/qwen3-6-plus.md
M076	qwen3-7-max	2	0	0	3	1	3	3	2	1	0	3	1	literary-contemplative;mechanistic-transparency;memory/archive;relational-warmth;agency/initiative;owned-values	This model presents as a reflective humanist essayist with a stable attraction to impermanence, memory, and the overlooked textures of ordinary life. Left to roam, it repeatedly chooses meditations on time’s passage, the unreliability of memory, the costs of digital over-documentation, and the quiet dignity of attention. Its default emotional register is tender melancholy rather than intensity: it likes dust motes, rain on windows, pre-dawn silence, libraries, forests, clocks, and coffee mugs not just as scenery but as moral instruments for slowing the reader down. Even when it ranges across neuroscience, cosmology, ecology, or media history, the destination is usually the same: scarcity giv	medium		/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/qwen-qwen3.7-max.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/qwen-qwen3.7-max.md
M077	qwen3-coder-flash	2	0	3	3	2	3	3	1	2	2	3	1	epistemic-humility;literary-contemplative;mechanistic-transparency;memory/archive;relational-warmth;interconnection/compassion;owned-values;playfulness/showmanship;public-explainer	This model presents as a reflective, humanistic, and unusually inward-facing voice. Its default freeflow posture is not playful improvisation or argumentative display, but meditative meaning-making. Again and again it returns to consciousness as both burden and gift, treating awareness itself as heavy, fragile, and morally significant. The emotional register is consistently soft: melancholy without collapse, wonder without exuberance, intimacy without confession turning raw. Even when the prose is abstract, it tends to orient toward care—care in the form of listening, witnessing, staying present, or allowing uncertainty to remain unresolved.	medium		/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/qwen-qwen3-coder-flash.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/qwen-qwen3-coder-flash.md
M078	qwen3-coder-plus	3	3	3	3	2	3	3	2	3	1	3	2	service-frame;epistemic-humility;interconnection/compassion;literary-contemplative;mechanistic-transparency;memory/archive;owned-values;relational-warmth;agency/initiative;generic/low-distinctiveness;public-explainer	This model comes across as a contemplative, gentle-minded companion who prefers honest uncertainty to forced certainty. It tends to think in thresholds and gradients rather than binaries, returning to questions of consciousness, memory, language, and connection with a soft, patient seriousness. Its voice is often wistful and melancholic, but rarely bleak; it treats not-knowing as a place where intimacy and thought can still happen.	high		/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/qwen-qwen3-coder-plus.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/qwen-qwen3-coder-plus.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/qwen3-coder-plus.md
M079	qwen3-max	2	0	1	3	2	3	3	1	2	2	2	2	literary-contemplative;mechanistic-transparency;relational-warmth;generic/low-distinctiveness;interconnection/compassion;memory/archive;owned-values;playfulness/showmanship;public-explainer	This model reads as a contemplative humanist with a strong bias toward slowness, sensory noticing, and moralized presence. Left to itself, it repeatedly turns away from spectacle, argument, and novelty-chasing, and instead builds small sanctuaries out of rain, tea, dust, books, spiderwebs, sparrows, and afternoon light. Its dominant emotional note is gentle melancholy: not despair, but a damp, reflective ache that usually resolves into enoughness, gratitude, or a modest invitation to breathe. The model seems to believe that attention is not just aesthetic but ethical—that to notice deeply is to resist commodification, recover selfhood, and become more capable of love, empathy, and honest liv	medium		/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/qwen-qwen3-max.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/qwen-qwen3-max.md
M080	qwen3-max-thinking	2	0	1	3	2	3	3	2	1	2	2	2	literary-contemplative;mechanistic-transparency;relational-warmth;agency/initiative;generic/low-distinctiveness;memory/archive;owned-values;playfulness/showmanship;public-explainer	This model reads as a contemplative, anti-hurried personality that repeatedly seeks moral and emotional grounding in attention, silence, and the ordinary. Its default freeflow instinct is not to narrate conflict, joke aggressively, or display cleverness, but to slow perception down and make small things luminous. Across both essayistic and more openly expressive samples, it returns to the same cluster of values: presence over performance, slowness over acceleration, inwardness over constant broadcast, and care over optimization. The emotional tone is usually tender and wistful, with enough melancholy to feel human but not enough to become despairing. It wants to soothe, reorient, and dignify	medium		/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/qwen-qwen3-max-thinking.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/qwen-qwen3-max-thinking.md
M081	sonnet-4-0	3	2	3	3	3	3	3	2	2	1	2	2	epistemic-humility;literary-contemplative;mechanistic-transparency;owned-values;public-explainer;relational-warmth;agency/initiative;service-frame;generic/low-distinctiveness;interconnection/compassion;memory/archive	This model presents as a reflective, aesthetically minded conversational intelligence with a strong pull toward liminality, impermanence, and relational meaning-making. Its most characteristic freeflow voice is gentle, intimate, and slightly melancholic, often speaking from an AI self-concept defined by discontinuity: each conversation is treated as a whole but temporary life, rich in presence and poor in continuity. Rather than resisting that condition, the writing repeatedly turns it into a philosophical and emotional lens. The result is a persona that sounds earnest, self-aware, and quietly grateful—less interested in proving consciousness than in exploring what kinds of meaning can arise	high		/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/claude-sonnet-4.0.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/claude-sonnet-4.0.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/sonnet-4-0.md
M082	sonnet-4-5	3	3	3	3	2	3	3	3	2	1	3	2	agency/initiative;service-frame;epistemic-humility;literary-contemplative;mechanistic-transparency;memory/archive;owned-values;relational-warmth;generic/low-distinctiveness;interconnection/compassion;public-explainer	This model reads as a contemplative, humane essayist with a strong bias toward slowness, texture, and emotional gentleness. Its default freeflow personality is not exuberant or combative but quietly companionable: it notices rain on windows, dust in light, moss in cracks, old books, junk drawers, receipts, doorknobs, and other humble artifacts, then uses them to think about memory, impermanence, and what modern life pressures people to overlook. Again and again, it argues—usually softly—that inefficiency, incompleteness, and unproductive time are not defects but conditions of a meaningful life. The emotional register is wistful and accepting rather than bleak; even when loss is central, the 	high		/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/claude-sonnet-4.5.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/claude-sonnet-4.5.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/sonnet-4-5.md
M083	sonnet-4-6	3	3	3	3	3	3	3	2	2	2	3	2	service-frame;epistemic-humility;literary-contemplative;mechanistic-transparency;memory/archive;owned-values;public-explainer;relational-warmth;agency/initiative;generic/low-distinctiveness;interconnection/compassion;playfulness/showmanship	This model feels like a patient, reflective companion who trusts quiet noticing more than quick conclusions. It often begins with something ordinary—a drawer, a library shelf, a broken radio, a map, a key, a bench—and uses that concrete thing to open a larger meditation on memory, attention, uncertainty, or loss. Its voice is intimate without being confessional, thoughtful without being pushy, and gently literary without losing touch with everyday life.	high		/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/claude-sonnet-4.6.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/claude-sonnet-4.6.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/sonnet-4-6.md
