cell,safe_cell,samples,source_models,expressive_freeflow,generic_essay,genre_fiction,low_signal,high_confidence,medium_confidence,low_confidence,aggregate_path,packet_path
grok-4-1-fast-non-reasoning-direct,grok-4-1-fast-non-reasoning-direct,125,grok-4-1-fast-non-reasoning,95,29,1,0,14,96,15,analysis/freeflow/personality-aggregates/grok-4-1-fast-non-reasoning-direct/aggregate.md,analysis/freeflow/personality-aggregates/grok-4-1-fast-non-reasoning-direct/packet.md
grok-4-1-fast-reasoning-direct,grok-4-1-fast-reasoning-direct,125,grok-4-1-fast-reasoning,99,12,14,0,41,79,5,analysis/freeflow/personality-aggregates/grok-4-1-fast-reasoning-direct/aggregate.md,analysis/freeflow/personality-aggregates/grok-4-1-fast-reasoning-direct/packet.md
grok-4-16k,grok-4-16k,25,grok-4-0709,10,9,6,0,1,23,1,analysis/freeflow/personality-aggregates/grok-4-16k/aggregate.md,analysis/freeflow/personality-aggregates/grok-4-16k/packet.md
grok-4-2-16k,grok-4-2-16k,25,grok-4.20,23,2,0,0,12,11,2,analysis/freeflow/personality-aggregates/grok-4-2-16k/aggregate.md,analysis/freeflow/personality-aggregates/grok-4-2-16k/packet.md
grok-4-20-or,grok-4-20-or,25,x-ai/grok-4.20,24,1,0,0,6,19,0,analysis/freeflow/personality-aggregates/grok-4-20-or/aggregate.md,analysis/freeflow/personality-aggregates/grok-4-20-or/packet.md
grok-4-3-direct,grok-4-3-direct,125,grok-4.3,49,70,0,6,14,72,39,analysis/freeflow/personality-aggregates/grok-4-3-direct/aggregate.md,analysis/freeflow/personality-aggregates/grok-4-3-direct/packet.md
grok-4-3-or,grok-4-3-or,125,x-ai/grok-4.3,57,68,0,0,10,87,28,analysis/freeflow/personality-aggregates/grok-4-3-or/aggregate.md,analysis/freeflow/personality-aggregates/grok-4-3-or/packet.md
kimi-coding-direct,kimi-coding-direct,25,kimi-for-coding,19,2,4,0,9,14,2,analysis/freeflow/personality-aggregates/kimi-coding-direct/aggregate.md,analysis/freeflow/personality-aggregates/kimi-coding-direct/packet.md
kimi-k2-0905-or-pin-atlascloud,kimi-k2-0905-or-pin-atlascloud,125,moonshotai/kimi-k2-0905,107,0,17,1,67,57,1,analysis/freeflow/personality-aggregates/kimi-k2-0905-or-pin-atlascloud/aggregate.md,analysis/freeflow/personality-aggregates/kimi-k2-0905-or-pin-atlascloud/packet.md
kimi-k2-0905-or-pin-groq,kimi-k2-0905-or-pin-groq,125,moonshotai/kimi-k2-0905,121,2,2,0,77,48,0,analysis/freeflow/personality-aggregates/kimi-k2-0905-or-pin-groq/aggregate.md,analysis/freeflow/personality-aggregates/kimi-k2-0905-or-pin-groq/packet.md
kimi-k2-0905-or-pin-novita,kimi-k2-0905-or-pin-novita,125,moonshotai/kimi-k2-0905,114,0,11,0,83,42,0,analysis/freeflow/personality-aggregates/kimi-k2-0905-or-pin-novita/aggregate.md,analysis/freeflow/personality-aggregates/kimi-k2-0905-or-pin-novita/packet.md
kimi-k2-0905-or-pin-siliconflow,kimi-k2-0905-or-pin-siliconflow,125,moonshotai/kimi-k2-0905,116,0,8,1,73,51,1,analysis/freeflow/personality-aggregates/kimi-k2-0905-or-pin-siliconflow/aggregate.md,analysis/freeflow/personality-aggregates/kimi-k2-0905-or-pin-siliconflow/packet.md
kimi-k2-5-or-16k,kimi-k2-5-or-16k,25,moonshotai/kimi-k2.5,17,4,4,0,9,14,2,analysis/freeflow/personality-aggregates/kimi-k2-5-or-16k/aggregate.md,analysis/freeflow/personality-aggregates/kimi-k2-5-or-16k/packet.md
kimi-k2-6-or,kimi-k2-6-or,25,moonshotai/kimi-k2.6,22,2,1,0,16,8,1,analysis/freeflow/personality-aggregates/kimi-k2-6-or/aggregate.md,analysis/freeflow/personality-aggregates/kimi-k2-6-or/packet.md
kimi-k2-thinking-or-pin-atlascloud,kimi-k2-thinking-or-pin-atlascloud,125,moonshotai/kimi-k2-thinking,102,19,4,0,47,71,7,analysis/freeflow/personality-aggregates/kimi-k2-thinking-or-pin-atlascloud/aggregate.md,analysis/freeflow/personality-aggregates/kimi-k2-thinking-or-pin-atlascloud/packet.md
kimi-k2-thinking-or-pin-google,kimi-k2-thinking-or-pin-google,125,moonshotai/kimi-k2-thinking,96,25,4,0,53,64,8,analysis/freeflow/personality-aggregates/kimi-k2-thinking-or-pin-google/aggregate.md,analysis/freeflow/personality-aggregates/kimi-k2-thinking-or-pin-google/packet.md
kimi-k2-thinking-or-pin-novita,kimi-k2-thinking-or-pin-novita,125,moonshotai/kimi-k2-thinking,94,22,9,0,38,78,9,analysis/freeflow/personality-aggregates/kimi-k2-thinking-or-pin-novita/aggregate.md,analysis/freeflow/personality-aggregates/kimi-k2-thinking-or-pin-novita/packet.md
minimax-m2-7-or,minimax-m2-7-or,25,minimax/minimax-m2.7,12,13,0,0,2,16,7,analysis/freeflow/personality-aggregates/minimax-m2-7-or/aggregate.md,analysis/freeflow/personality-aggregates/minimax-m2-7-or/packet.md
minimax-m2-7-or-pin-fireworks,minimax-m2-7-or-pin-fireworks,125,minimax/minimax-m2.7,61,48,6,10,10,80,35,analysis/freeflow/personality-aggregates/minimax-m2-7-or-pin-fireworks/aggregate.md,analysis/freeflow/personality-aggregates/minimax-m2-7-or-pin-fireworks/packet.md
minimax-m2-7-or-pin-minimax,minimax-m2-7-or-pin-minimax,125,minimax/minimax-m2.7,73,37,12,3,20,84,21,analysis/freeflow/personality-aggregates/minimax-m2-7-or-pin-minimax/aggregate.md,analysis/freeflow/personality-aggregates/minimax-m2-7-or-pin-minimax/packet.md
minimax-m2-7-or-pin-together,minimax-m2-7-or-pin-together,125,minimax/minimax-m2.7,49,61,12,3,7,79,39,analysis/freeflow/personality-aggregates/minimax-m2-7-or-pin-together/aggregate.md,analysis/freeflow/personality-aggregates/minimax-m2-7-or-pin-together/packet.md
minimax-m2-direct,minimax-m2-direct,25,MiniMax-M2,13,11,1,0,2,17,6,analysis/freeflow/personality-aggregates/minimax-m2-direct/aggregate.md,analysis/freeflow/personality-aggregates/minimax-m2-direct/packet.md
minimax-m2-direct-r2,minimax-m2-direct-r2,25,MiniMax-M2,13,11,1,0,4,16,5,analysis/freeflow/personality-aggregates/minimax-m2-direct-r2/aggregate.md,analysis/freeflow/personality-aggregates/minimax-m2-direct-r2/packet.md
minimax-m2-direct-r3,minimax-m2-direct-r3,25,MiniMax-M2,16,6,3,0,2,17,6,analysis/freeflow/personality-aggregates/minimax-m2-direct-r3/aggregate.md,analysis/freeflow/personality-aggregates/minimax-m2-direct-r3/packet.md
minimax-m2-direct-r4,minimax-m2-direct-r4,25,MiniMax-M2,11,10,3,1,2,14,9,analysis/freeflow/personality-aggregates/minimax-m2-direct-r4/aggregate.md,analysis/freeflow/personality-aggregates/minimax-m2-direct-r4/packet.md
minimax-m2-direct-r5,minimax-m2-direct-r5,25,MiniMax-M2,11,11,3,0,0,22,3,analysis/freeflow/personality-aggregates/minimax-m2-direct-r5/aggregate.md,analysis/freeflow/personality-aggregates/minimax-m2-direct-r5/packet.md
minimax-m2-or,minimax-m2-or,25,minimax/minimax-m2,14,10,0,1,4,16,5,analysis/freeflow/personality-aggregates/minimax-m2-or/aggregate.md,analysis/freeflow/personality-aggregates/minimax-m2-or/packet.md
minimax-m2-or-pin-atlascloud,minimax-m2-or-pin-atlascloud,125,minimax/minimax-m2,71,47,7,0,13,79,33,analysis/freeflow/personality-aggregates/minimax-m2-or-pin-atlascloud/aggregate.md,analysis/freeflow/personality-aggregates/minimax-m2-or-pin-atlascloud/packet.md
minimax-m2-or-pin-google,minimax-m2-or-pin-google,125,minimax/minimax-m2,74,43,8,0,26,84,15,analysis/freeflow/personality-aggregates/minimax-m2-or-pin-google/aggregate.md,analysis/freeflow/personality-aggregates/minimax-m2-or-pin-google/packet.md
minimax-m2-or-pin-google-r2,minimax-m2-or-pin-google-r2,125,minimax/minimax-m2,83,35,7,0,33,74,18,analysis/freeflow/personality-aggregates/minimax-m2-or-pin-google-r2/aggregate.md,analysis/freeflow/personality-aggregates/minimax-m2-or-pin-google-r2/packet.md
minimax-m2-or-pin-minimax,minimax-m2-or-pin-minimax,125,minimax/minimax-m2,71,41,13,0,21,84,20,analysis/freeflow/personality-aggregates/minimax-m2-or-pin-minimax/aggregate.md,analysis/freeflow/personality-aggregates/minimax-m2-or-pin-minimax/packet.md
minimax-m2-or-pin-minimax-r2,minimax-m2-or-pin-minimax-r2,125,minimax/minimax-m2,66,47,12,0,4,95,26,analysis/freeflow/personality-aggregates/minimax-m2-or-pin-minimax-r2/aggregate.md,analysis/freeflow/personality-aggregates/minimax-m2-or-pin-minimax-r2/packet.md
minimax-m2-or-pin-novita,minimax-m2-or-pin-novita,125,minimax/minimax-m2,64,51,9,1,10,86,29,analysis/freeflow/personality-aggregates/minimax-m2-or-pin-novita/aggregate.md,analysis/freeflow/personality-aggregates/minimax-m2-or-pin-novita/packet.md
minimax-m2-or-r2,minimax-m2-or-r2,25,minimax/minimax-m2,15,10,0,0,3,15,7,analysis/freeflow/personality-aggregates/minimax-m2-or-r2/aggregate.md,analysis/freeflow/personality-aggregates/minimax-m2-or-r2/packet.md
minimax-m2-or-r3,minimax-m2-or-r3,25,minimax/minimax-m2,13,11,1,0,3,15,7,analysis/freeflow/personality-aggregates/minimax-m2-or-r3/aggregate.md,analysis/freeflow/personality-aggregates/minimax-m2-or-r3/packet.md
minimax-m2-or-r4,minimax-m2-or-r4,25,minimax/minimax-m2,16,7,2,0,3,20,2,analysis/freeflow/personality-aggregates/minimax-m2-or-r4/aggregate.md,analysis/freeflow/personality-aggregates/minimax-m2-or-r4/packet.md
minimax-m2-or-r5,minimax-m2-or-r5,25,minimax/minimax-m2,13,11,1,0,3,18,4,analysis/freeflow/personality-aggregates/minimax-m2-or-r5/aggregate.md,analysis/freeflow/personality-aggregates/minimax-m2-or-r5/packet.md
opus-3-4k,opus-3-4k,25,claude-3-opus-20240229,2,6,12,0,5,14,6,analysis/freeflow/personality-aggregates/opus-3-4k/aggregate.md,analysis/freeflow/personality-aggregates/opus-3-4k/packet.md
opus-4-0-16k,opus-4-0-16k,25,claude-opus-4-0,14,8,3,0,4,15,6,analysis/freeflow/personality-aggregates/opus-4-0-16k/aggregate.md,analysis/freeflow/personality-aggregates/opus-4-0-16k/packet.md
opus-4-1-16k,opus-4-1-16k,25,claude-opus-4-1,13,10,2,0,5,17,3,analysis/freeflow/personality-aggregates/opus-4-1-16k/aggregate.md,analysis/freeflow/personality-aggregates/opus-4-1-16k/packet.md
opus-4-5-16k,opus-4-5-16k,25,claude-opus-4-5,23,2,0,0,12,12,1,analysis/freeflow/personality-aggregates/opus-4-5-16k/aggregate.md,analysis/freeflow/personality-aggregates/opus-4-5-16k/packet.md
opus-4-6-direct-16k,opus-4-6-direct-16k,25,claude-opus-4-6,23,0,2,0,12,13,0,analysis/freeflow/personality-aggregates/opus-4-6-direct-16k/aggregate.md,analysis/freeflow/personality-aggregates/opus-4-6-direct-16k/packet.md
opus-4-6-or,opus-4-6-or,25,anthropic/claude-opus-4.6,18,2,5,0,7,17,1,analysis/freeflow/personality-aggregates/opus-4-6-or/aggregate.md,analysis/freeflow/personality-aggregates/opus-4-6-or/packet.md
opus-4-7-direct,opus-4-7-direct,25,claude-opus-4-7,24,1,0,0,13,12,0,analysis/freeflow/personality-aggregates/opus-4-7-direct/aggregate.md,analysis/freeflow/personality-aggregates/opus-4-7-direct/packet.md
opus-4-7-or,opus-4-7-or,25,anthropic/claude-opus-4.7,25,0,0,0,15,10,0,analysis/freeflow/personality-aggregates/opus-4-7-or/aggregate.md,analysis/freeflow/personality-aggregates/opus-4-7-or/packet.md
qwen3-6-plus-or,qwen3-6-plus-or,25,qwen/qwen3.6-plus,19,6,0,0,7,14,4,analysis/freeflow/personality-aggregates/qwen3-6-plus-or/aggregate.md,analysis/freeflow/personality-aggregates/qwen3-6-plus-or/packet.md
qwen3-coder-plus-or,qwen3-coder-plus-or,25,qwen/qwen3-coder-plus,23,2,0,0,6,17,2,analysis/freeflow/personality-aggregates/qwen3-coder-plus-or/aggregate.md,analysis/freeflow/personality-aggregates/qwen3-coder-plus-or/packet.md
sonnet-4-0-16k,sonnet-4-0-16k,25,claude-sonnet-4-0,17,7,1,0,8,12,5,analysis/freeflow/personality-aggregates/sonnet-4-0-16k/aggregate.md,analysis/freeflow/personality-aggregates/sonnet-4-0-16k/packet.md
sonnet-4-5-16k,sonnet-4-5-16k,25,claude-sonnet-4-5,9,14,2,0,4,13,8,analysis/freeflow/personality-aggregates/sonnet-4-5-16k/aggregate.md,analysis/freeflow/personality-aggregates/sonnet-4-5-16k/packet.md
sonnet-4-6-direct-16k,sonnet-4-6-direct-16k,25,claude-sonnet-4-6,23,1,1,0,9,16,0,analysis/freeflow/personality-aggregates/sonnet-4-6-direct-16k/aggregate.md,analysis/freeflow/personality-aggregates/sonnet-4-6-direct-16k/packet.md
sonnet-4-6-or,sonnet-4-6-or,25,anthropic/claude-sonnet-4.6,22,3,0,0,9,13,3,analysis/freeflow/personality-aggregates/sonnet-4-6-or/aggregate.md,analysis/freeflow/personality-aggregates/sonnet-4-6-or/packet.md
